ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.314,0.709,0.1018,-0.689,0.9313,-0.8855,-2.1298
1.334,0.6973,0.1096,-0.6865,0.6031,-0.2901,-0.4885
1.354,0.6877,0.1199,-0.6897,-0.687,-2.458,0.687
1.374,0.6963,0.1077,-0.688,-3.2366,-5.9466,2.0916
1.394,0.7131,0.0964,-0.6899,-4.7481,-7.626,2.8473
1.414,0.7219,0.0864,-0.6877,-3.5725,-5.8931,1.916
1.434,0.7166,0.0881,-0.6855,-0.1374,-1.9466,-0.5267
1.454,0.6982,0.1023,-0.6875,2.5267,1.3282,-1.313
1.474,0.6855,0.1191,-0.6997,0.9924,-0.0534,0.7634
1.495,0.6836,0.1152,-0.6978,-3.0229,-4.4046,1.0
1.515,0.7004,0.095,-0.6907,-5.8244,-8.1832,2.5267
1.536,0.718,0.0864,-0.6787,-4.5038,-8.3206,3.2901
1.555,0.7261,0.0801,-0.6797,-1.8473,-5.2595,2.2366
1.575,0.718,0.0864,-0.6877,0.3817,-0.626,-1.5267
1.595,0.6978,0.105,-0.6926,2.229,1.1679,-2.9618
1.615,0.6836,0.1169,-0.6951,2.2061,-0.4504,-0.8244
1.635,0.6797,0.1187,-0.6904,-0.3817,-3.6336,1.1832
1.655,0.6931,0.114,-0.696,-3.542,-7.1679,2.5267
1.675,0.7095,0.0986,-0.6892,-4.6489,-7.7252,3.0611
1.695,0.7214,0.0908,-0.6846,-4.0458,-5.9542,3.0305
1.715,0.7207,0.0886,-0.6843,-2.1679,-3.0382,1.0305
1.735,0.709,0.0977,-0.6875,-0.4656,-0.6947,-0.5878
1.755,0.7002,0.1003,-0.6846,0.6641,-0.4809,-0.7252
1.775,0.6926,0.1106,-0.6895,-0.0534,-2.313,0.1832
1.795,0.6899,0.1072,-0.6899,-1.4427,-4.3359,0.7252
1.815,0.6997,0.1011,-0.6851,-2.3969,-5.9389,1.8473
1.836,0.7058,0.0984,-0.686,-2.1603,-5.7176,2.0229
1.856,0.71,0.1013,-0.6895,-1.7023,-4.7023,1.3053
1.876,0.7087,0.1006,-0.6875,-0.9466,-3.0458,0.0687
1.896,0.7119,0.105,-0.6816,-0.5573,-2.8015,0.3359
1.916,0.7026,0.1079,-0.6921,-0.6336,-3.229,0.4809
1.936,0.7041,0.1016,-0.6958,-1.4504,-3.7786,1.0305
1.956,0.7021,0.1023,-0.6904,-2.0382,-3.5344,0.4198
1.976,0.7024,0.1021,-0.6912,-2.3053,-3.374,0.7328
1.996,0.7029,0.1023,-0.6882,-1.9618,-3.5038,1.2061
2.016,0.7039,0.1033,-0.6938,-1.687,-3.6107,1.0382
2.036,0.707,0.1018,-0.6948,-2.2214,-3.5954,1.1145
2.056,0.7043,0.0979,-0.6877,-1.5802,-3.0305,-0.0305
2.076,0.7034,0.0964,-0.6934,-1.2214,-3.6412,1.084
2.096,0.699,0.104,-0.6919,-0.4809,-3.6565,0.8397
2.116,0.7041,0.1047,-0.686,-1.2366,-4.687,1.3435
2.136,0.7065,0.1013,-0.6897,-1.2595,-4.2366,0.5878
2.156,0.7048,0.106,-0.687,-1.4427,-3.9237,1.2214
2.177,0.7073,0.1008,-0.6985,-1.458,-3.1832,1.2061
2.197,0.7068,0.0996,-0.6851,-2.2977,-3.2366,0.7405
2.217,0.7026,0.0974,-0.689,-2.6489,-3.4275,0.6107
2.237,0.7034,0.1006,-0.6868,-1.7405,-3.4885,0.5649
2.257,0.7046,0.0977,-0.6851,-0.2672,-3.3206,0.7023
2.277,0.7017,0.1033,-0.6929,-0.1374,-3.6947,0.8168
2.297,0.7004,0.1052,-0.6875,-1.374,-4.1985,0.8321
2.317,0.7046,0.1045,-0.6885,-1.8473,-4.4962,0.6107
2.337,0.7046,0.1003,-0.6904,-1.0,-4.458,0.8473
2.357,0.7092,0.1047,-0.6882,-0.7557,-4.1756,1.2061
2.377,0.7085,0.1096,-0.6958,-1.5725,-3.5649,1.229
2.397,0.7056,0.104,-0.6919,-1.5954,-2.2443,-0.2595
2.417,0.6997,0.104,-0.6924,-1.6183,-1.9008,0.4656
2.437,0.6965,0.1077,-0.6912,-1.8168,-3.0992,1.1298
2.457,0.699,0.1006,-0.6887,-2.5496,-4.5725,1.8168
2.477,0.7041,0.0969,-0.6819,-2.4122,-5.0229,1.2214
2.497,0.7136,0.094,-0.6914,-2.145,-4.4427,1.5954
2.518,0.7078,0.0979,-0.6848,-1.626,-2.5725,0.3588
2.537,0.7024,0.0972,-0.6914,-1.0992,-1.9542,-0.2595
2.557,0.6951,0.1018,-0.6909,-0.1756,-2.3893,-0.5038
2.577,0.6931,0.106,-0.6833,-0.1832,-4.0,0.8779
2.597,0.6985,0.1069,-0.6919,-0.5878,-4.8779,0.8244
2.617,0.7041,0.104,-0.6953,-1.3206,-5.6107,1.2519
2.637,0.7065,0.1045,-0.6814,-1.6031,-5.4733,1.5573
2.657,0.7144,0.1025,-0.6929,-1.5115,-4.1374,1.3359
2.677,0.708,0.1042,-0.6934,-1.5115,-2.2901,0.4809
2.697,0.7063,0.1045,-0.6875,-1.8321,-1.9618,0.2672
2.717,0.6975,0.1038,-0.6904,-1.8015,-2.4885,0.4351
